,County,Two-Races,Population,Poverty,Infections,Poverty Rate,Infection Rate
79,CHIPPEWA,Caucasian,10285.0,512.0,0.0,0.04978123480797277,0.0
80,CHIPPEWA,Non-Caucasian,160.0,41.0,0.0,0.25625,0.0
81,CHIPPEWA,Non-Caucasian,900.0,220.0,0.0,0.24444444444444444,0.0
82,CHIPPEWA,Non-Caucasian,188.0,151.0,0.0,0.8031914893617021,0.0
83,CHIPPEWA,Non-Caucasian,83.0,112.0,0.0,1.3493975903614457,0.0
84,CHISAGO,Non-Caucasian,662.0,15.0,28.0,0.022658610271903322,0.04229607250755287
85,CHISAGO,Non-Caucasian,621.0,92.0,14.0,0.14814814814814814,0.02254428341384863
86,CHISAGO,Caucasian,51758.0,2877.0,4158.0,0.05558560995401677,0.08033540708682715
87,CHISAGO,Non-Caucasian,14.0,7.0,0.0,0.5,0.0
88,CHISAGO,Non-Caucasian,1283.0,261.0,10.0,0.2034294621979735,0.00779423226812159
89,CHISAGO,Non-Caucasian,309.0,13.0,2.0,0.042071197411003236,0.006472491909385114
90,CHISAGO,Non-Caucasian,1197.0,225.0,5.0,0.18796992481203006,0.004177109440267335
91,CLAY,Non-Caucasian,2508.0,1228.0,190.0,0.48963317384370014,0.07575757575757576
92,CLAY,Non-Caucasian,892.0,362.0,6.0,0.40582959641255606,0.006726457399103139
93,CLAY,Caucasian,55375.0,5223.0,5152.0,0.09432054176072235,0.09303837471783295
94,CLAY,Non-Caucasian,123.0,62.0,0.0,0.5040650406504065,0.0
95,CLAY,Non-Caucasian,2976.0,377.0,87.0,0.12668010752688172,0.029233870967741934
96,CLAY,Non-Caucasian,916.0,340.0,29.0,0.37117903930131,0.03165938864628821
97,CLAY,Non-Caucasian,1239.0,243.0,69.0,0.19612590799031476,0.05569007263922518
98,CLEARWATER,Non-Caucasian,17.0,1.0,0.0,0.058823529411764705,0.0
99,CLEARWATER,Non-Caucasian,50.0,4.0,0.0,0.08,0.0
100,CLEARWATER,Caucasian,7512.0,762.0,0.0,0.10143769968051118,0.0
